,Time,VarName,VarValue,VarUnits,Site
0,0024-06-30,FATES_FROOTC,0.091804139316082,kg m-2,US-ORN
1,0024-06-30,Calc_N_Demand,1.83608278632164e-07,kg m-2 s-1,US-ORN
2,0024-06-30,FATES_NDEMAND,1.8348681862789817e-07,kg m-2 s-1,US-ORN
3,0024-06-30,FATES_NH4UPTAKE,1.8348679020618874e-07,kg m-2 s-1,US-ORN
4,0024-06-30,FATES_NO3UPTAKE,3.280366836456647e-14,kg m-2 s-1,US-ORN
5,0024-06-30,NFIX_TO_SMINN,1.6079996223439252e-09,gN/m^2/s,US-ORN
6,0024-06-30,FATES_NEFFLUX,1.830643014955058e-07,kg m-2 s-1,US-ORN
7,0024-06-30,SUPPLEMENT_TO_SMINN,0.00018299510702490807,gN/m^2/s,US-ORN
8,0024-06-30,SMINN,0.005733767990022898,gN/m^2,US-ORN
9,0024-06-30,SMINN_TO_PLANT,0.00018360323156230152,gN/m^2/s,US-ORN
10,0024-06-30,FATES_STOREN,0.049047891050577164,kg m-2,US-ORN
11,0024-06-30,FATES_VEGN,0.0615820437669754,kg m-2,US-ORN
12,0024-06-30,FATES_FROOTN,0.00220329943113029,kg m-2,US-ORN
13,0024-06-30,FATES_STOREN_TF,2.0,1,US-ORN
14,0024-06-30,ACTUAL_IMMOB,9.850612059381092e-07,gN/m^2/s,US-ORN
15,0024-06-30,POTENTIAL_IMMOB,9.850612059381092e-07,gN/m^2/s,US-ORN
16,0126-06-30,FATES_FROOTC,0.9904627799987793,kg m-2,US-ORN
17,0126-06-30,Calc_N_Demand,1.9809255599975584e-06,kg m-2 s-1,US-ORN
18,0126-06-30,FATES_NDEMAND,1.979126182050095e-06,kg m-2 s-1,US-ORN
19,0126-06-30,FATES_NH4UPTAKE,3.828763001090252e-11,kg m-2 s-1,US-ORN
20,0126-06-30,FATES_NO3UPTAKE,1.7050206609509467e-18,kg m-2 s-1,US-ORN
21,0126-06-30,NFIX_TO_SMINN,1.5012465715003032e-09,gN/m^2/s,US-ORN
22,0126-06-30,FATES_NEFFLUX,0.0,kg m-2 s-1,US-ORN
23,0126-06-30,SUPPLEMENT_TO_SMINN,0.0,gN/m^2/s,US-ORN
24,0126-06-30,SMINN,0.00018084362091030926,gN/m^2,US-ORN
25,0126-06-30,SMINN_TO_PLANT,3.751270938323614e-08,gN/m^2/s,US-ORN
26,0126-06-30,FATES_STOREN,1.2508537317046375e-08,kg m-2,US-ORN
